"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18039602990337397,17841469585585053,sachin.tastic,"The man, the myth, the God!","Throwback to 1998! Sachin Tendulkar's blistering form that year was a treat to watch! He smashed 1894 runs in ODIs, including 9 centuries, and averaged a staggering 65.31. His dominance with the bat left bowlers bewildered and fans mesmerized. A truly unforgettable year for the Master Blaster!

#sachintendulkar #australiacricket #tendulkar #sachin",57,"12/25/2024 06:17",https://www.instagram.com/reel/DEAR6tCoplx/,"IG reel",,Lifetime,12170,8941,1271,90,6,5,91
18051929876049600,17841469585585053,sachin.tastic,"The man, the myth, the God!","Can you guess any other unique bowling records of the master?👀 

#sachin #sachintendulkar #tendulkar",20,"12/26/2024 05:51",https://www.instagram.com/reel/DECzu7LztL0/,"IG reel",,Lifetime,212705,165798,23837,3715,83,98,954
18027989849614002,17841469585585053,sachin.tastic,"The man, the myth, the God!","During the 2003 wc🥹

#sachintendulkar #sachin #shanewarne #tendulkar",69,"12/30/2024 05:22",https://www.instagram.com/reel/DENDnkyIFXm/,"IG reel",,Lifetime,4444,3264,285,85,1,4,24
18359344756193324,17841469585585053,sachin.tastic,"The man, the myth, the God!","21 years ago today, Sachin Tendulkar crafted one of the most disciplined innings ever. His unbeaten 241* at the SCG, without a single cover drive, was a masterclass in focus and restraint. Facing 436 balls over 10 hours, he achieved a feat of mental and technical brilliance that feels impossible to replicate in today's cricket. A timeless knock that redefined greatness!

#sachintendulkar #sachin #nocoverdrive #coverdrive",12,"01/02/2025 22:16",https://www.instagram.com/reel/DEWluAGI8yA/,"IG reel",,Lifetime,7598,5430,547,38,1,41,21
18068726368804797,17841469585585053,sachin.tastic,"The man, the myth, the God!","@beerbiceps 

#sachintendulkar #sachin #viratkohli  #rioferdinand",33,"01/05/2025 03:53",https://www.instagram.com/reel/DEcV-YCO4O4/,"IG reel",,Lifetime,6263,4645,476,121,2,3,51
17870379411266637,17841469585585053,sachin.tastic,"The man, the myth, the God!","The word ’Sachin’ is synonymous with cricket. Always. 

#sachintendulkar #sachin",21,"01/06/2025 06:39",https://www.instagram.com/reel/DEfOAwvoExT/,"IG reel",,Lifetime,11018,7575,1353,173,6,36,118
17914450587050931,17841469585585053,sachin.tastic,"The man, the myth, the God!","Indisputably the greatest Test batsman of all time.
@sachintendulkar 

#sachin #sachintendulkar",15,"01/08/2025 04:56",https://www.instagram.com/reel/DEkLz8dTFJH/,"IG reel",,Lifetime,6176,4090,430,79,0,7,48
18264999868266094,17841469585585053,sachin.tastic,"The man, the myth, the God!","Left us speechless😳 

#sachin #sachintendulkar #ravishastri #viratkohli #rickyponting #tonygrieg #rohitsharma",90,"01/09/2025 05:25",https://www.instagram.com/reel/DEmzqc2MXep/,"IG reel",,Lifetime,4308,3324,181,194,0,0,27
18032932208439410,17841469585585053,sachin.tastic,"The man, the myth, the God!","We can watch this all day🥹
 
#sachin #sachintendulkar #200notout #thankyousachin",60,"01/16/2025 06:40",https://www.instagram.com/reel/DE49_WrogG4/,"IG reel",,Lifetime,300420,219835,23356,3066,127,177,1686
18094797946505221,17841469585585053,sachin.tastic,"The man, the myth, the God!","I just can't 💀 
@sachintendulkar @brianlaraofficial 

#sachin #sachintendulkar #brianlara",12,"01/17/2025 05:14",https://www.instagram.com/reel/DE7ZGkAMOOl/,"IG reel",,Lifetime,397218,206529,30688,6802,100,163,1057
18018844499436211,17841469585585053,sachin.tastic,"The man, the myth, the God!","A special talent. @shaarang_94 
#msdhoni #rickyponting #imrankhan #viratkohli",59,"01/18/2025 05:13",https://www.instagram.com/reel/DE99ZtMMnt7/,"IG reel",,Lifetime,184027,141368,4826,7658,94,82,422
18084637798502614,17841469585585053,sachin.tastic,"The man, the myth, the God!","Wankhede hasn't forgotten the master🥹
@sachintendulkar 

#sachin #sachintendulkar #wankhede #rohitsharma",60,"01/19/2025 23:37",https://www.instagram.com/reel/DFCgq7_t8vK/,"IG reel",,Lifetime,79892,60586,6891,1943,55,59,487
18116664343429326,17841469585585053,sachin.tastic,"The man, the myth, the God!","#sachin #sachintendulkar #rohitsharma #ajinkyarahane #vadapav",25,"01/20/2025 04:22",https://www.instagram.com/reel/DFDBhHVtN4A/,"IG reel",,Lifetime,4084,2950,107,23,0,3,2
18106523056468027,17841469585585053,sachin.tastic,"The man, the myth, the God!","More than a decade since his retirement, yet he remains just as iconic to the cricketing world! @sachintendulkar 🛐

#sachintendulkar #sachin #wankhede #rohitsharma #mumbaicricket",59,"01/22/2025 06:01",https://www.instagram.com/reel/DFIWBTCMigt/,"IG reel",,Lifetime,2866,2225,148,22,0,4,15
18022714265646100,17841469585585053,sachin.tastic,"The man, the myth, the God!","#sachintendulkar #sachin #kishorekumar #messi #undertaker",5,"01/26/2025 05:33",https://www.instagram.com/reel/DFSmLqpMqZY/,"IG reel",,Lifetime,6826,3690,335,43,1,12,12
18122657569423611,17841469585585053,sachin.tastic,"The man, the myth, the God!","#sachin #sachintendulkar #babarazam

Yt: SachfanCric",35,"01/31/2025 06:07",https://www.instagram.com/reel/DFfiFwrMIs2/,"IG reel",,Lifetime,101086,64481,7305,1470,64,25,543
18132826105387432,17841469585585053,sachin.tastic,"The man, the myth, the God!","Sachin Tendulkar, a transcendent maestro of cricket, represents the confluence of prodigious talent, indefatigable perseverance, and unparalleled technical acumen. His career, an oeuvre of unrivaled achievements, defies conventional paradigms, reconfiguring the sport's very ontology. Through an enduring legacy that transcends temporal confines, he remains the quintessential epitome of sporting excellence, embodying a synthesis of mastery, consistency, and influence that shapes the global cricketing narrative.

#sachintendulkar #sachin #coverdrive",39,"02/01/2025 06:06",https://www.instagram.com/reel/DFiG400sBok/,"IG reel",,Lifetime,142483,106177,16910,1432,54,85,865
18048424181324243,17841469585585053,sachin.tastic,"The man, the myth, the God!","Sachin Tendulkar, a transcendent maestro of cricket, represents the confluence of prodigious talent, indefatigable perseverance, and unparalleled technical acumen. His career, an oeuvre of unrivaled achievements, defies conventional paradigms, reconfiguring the sport's very ontology. Through an enduring legacy that transcends temporal confines, he remains the quintessential epitome of sporting excellence, embodying a synthesis of mastery, consistency, and influence that shapes the global cricketing narrative.
#sachin #sachintendulkar",8,"02/08/2025 07:00",https://www.instagram.com/reel/DF0OjDIIDJY/,"IG reel",,Lifetime,8043,4025,319,98,1,9,37
18132293839394467,17841469585585053,sachin.tastic,"The man, the myth, the God!","Fan pays homage to the Master as he gets to his 80th FC hundred. 

#sachin #sachintendulkar #ranjitrophy",20,"02/09/2025 05:41",https://www.instagram.com/reel/DF2qNcSMEje/,"IG reel",,Lifetime,1183996,685018,112367,2799,255,184,2046
18074326525739755,17841469585585053,sachin.tastic,"The man, the myth, the God!","When Sachin Tendulkar played his legendary Desert Storm innings (143 vs Australia), India wasn’t just watching—it was frozen. Markets shut down, offices emptied, schools had half-days. Streets were deserted, electricity consumption dipped—because the entire nation was glued to their screens.

And this wasn’t a one-time thing. For over two decades, whenever Sachin batted, India held its breath!

@sachintendulkar 
#sachin #sachintendulkar",59,"02/16/2025 06:15",https://www.instagram.com/reel/DGIv3nrMhNG/,"IG reel",,Lifetime,346832,250148,21696,13495,307,201,1816
18070416388804597,17841469585585053,sachin.tastic,"The man, the myth, the God!","Master Blaster Sachin Tendulkar will take the field again! 
@sachintendulkar 
#sachintendulkar #sachin #tendulkar",13,"02/18/2025 06:17",https://www.instagram.com/reel/DGN5efwI6cx/,"IG reel",,Lifetime,5107,3989,418,18,7,2,15
18073568536706440,17841469585585053,sachin.tastic,"The man, the myth, the God!","Rate it.

#sachintendulkar #sachin #coverdrive",17,"02/19/2025 07:00",https://www.instagram.com/reel/DGQjTVRIOVe/,"IG reel",,Lifetime,80912,50528,5747,656,76,54,384
18075168580682813,17841469585585053,sachin.tastic,"The man, the myth, the God!","Who turned back the clock🥹
@sachintendulkar 🛐

#sachintendulkar #sachin",5,"02/26/2025 05:38",https://www.instagram.com/reel/DGibP2qoNPc/,"IG reel",,Lifetime,5547,3126,313,17,0,4,20
18087894067516351,17841469585585053,sachin.tastic,"The man, the myth, the God!","The undisputed king of fielding—no debates, no competition. Jonty Rhodes, the greatest to ever do it. 🐐 (He was a batsman, for those who never thought about it😉)
#jontyrhodes #sachin #sachintendulkar 

Do you agree?",14,"03/01/2025 06:22",https://www.instagram.com/reel/DGqOxIZIy3T/,"IG reel",,Lifetime,1152059,664366,120535,10607,147,196,1985
18064552291907836,17841469585585053,sachin.tastic,"The man, the myth, the God!","Nobody should miss what he did today—go watch the highlights! 
#sachin #sachintendulkar #iml 
@sachintendulkar 🛐",33,"03/05/2025 09:04",https://www.instagram.com/reel/DG00fQgzWGK/,"IG reel",,Lifetime,9367,6744,780,118,3,12,55
18120407446437875,17841469585585053,sachin.tastic,"The man, the myth, the God!","Master turned back the clock again! 
We are all grateful to have witnessed his masterclass live again🥹🫶

#sachin #sachin_tendulkar #sachintendulkar #iml",55,"03/05/2025 23:16",https://www.instagram.com/reel/DG2V2qFp1qz/,"IG reel",,Lifetime,129286,96709,10351,3894,30,85,575
18058364752877622,17841469585585053,sachin.tastic,"The man, the myth, the God!","He shows his class against Australia yet again 🥹👑
@sachintendulkar 🫶

#sachintendulkar #sachin #iml",41,"03/14/2025 00:25",https://www.instagram.com/reel/DHK9LAiMvxc/,"IG reel",,Lifetime,100387,74410,7354,849,20,61,259
17923842690028007,17841469585585053,sachin.tastic,"The man, the myth, the God!","#sachintendulkar #sachin #iml",37,"03/17/2025 01:10",https://www.instagram.com/reel/DHSw4GXM5B7/,"IG reel",,Lifetime,818440,621047,87831,14144,56,332,3182
17878165221273676,17841469585585053,sachin.tastic,"The man, the myth, the God!","Sachin's backfoot punch against Wasim Akram in the 2003 CWC is probably the best one ever played in international cricket! 

#sachintendulkar #wasimakram #sachin",35,"03/20/2025 09:13",https://www.instagram.com/reel/DHbWkMoIDQH/,"IG reel",,Lifetime,4252,3126,387,153,4,4,45
18145337515337624,17841469585585053,sachin.tastic,"The man, the myth, the God!","Rahane?

#ajinkyarahane #rcb #kkr #ipl #rcbfans",16,"03/22/2025 09:04",https://www.instagram.com/reel/DHgfEPYIoZk/,"IG reel",,Lifetime,1394833,767660,42100,63242,188,2317,2160
17901146136138538,17841469585585053,sachin.tastic,"The man, the myth, the God!","It's been 12 years! 

#sachintendulkar #sachin #mumbaiindians #ipl",13,"03/23/2025 11:03",https://www.instagram.com/reel/DHjRtfMMJu9/,"IG reel",,Lifetime,4152,2980,337,34,1,1,13
18064430089631768,17841469585585053,sachin.tastic,"The man, the myth, the God!","""Sachin Sachin"" chants during the Ind v Pak World Cup game in 2023. His craze is truly timeless!

Credit: @thecricketingvoyage on YouTube.

#sachintendulkar #sachin #indianteam #indiacricket #indiacricketteam #arjuntendulkar",12,"10/03/2024 09:29",https://www.instagram.com/reel/DAqyvo8oA_U/,"IG reel",,Lifetime,4639,2950,268,22,4,7,11
